numeric_part,alphabetic_part,footpath_side,footpath_length,number_of_four_wheelers,parking_marking_4w,cost_estimate
1,A,R1-A,630,19.0,20.0,9094.8
2,A,R2-A,750,23.0,25.0,11368.5
3,A,R3-A,355,11.0,12.0,5456.88
3,B,R3-B,355,11.0,12.0,5456.88
4,A,R4-A,760,23.0,25.0,11368.5
4,B,R4-B,760,23.0,25.0,11368.5
5,A,R5-A,545,17.0,18.0,8185.32
5,B,R5-B,545,17.0,18.0,8185.32
6,A,R6-A,510,16.0,17.0,7730.58
6,B,R6-B,510,16.0,17.0,7730.58
7,A,R7-A,970,30.0,32.0,14551.68
7,B,R7-B,970,30.0,32.0,14551.68
8,A,R8-A,785,24.0,26.0,11823.24
8,B,R8-B,785,24.0,26.0,11823.24
9,A,R9-A,755,23.0,25.0,11368.5
9,B,R9-B,755,23.0,25.0,11368.5
10,A,R10-A,615,19.0,20.0,9094.8
10,B,R10-B,615,19.0,20.0,9094.8
11,A,R11-A,600,18.0,19.0,8640.06
11,B,R11-B,600,18.0,19.0,8640.06
12,A,R12-A,715,22.0,24.0,10913.76
13,A,R13-A,550,17.0,18.0,8185.32
