numeric_part,alphabetic_part,footpath_side,parking_issue_length,is_there_encroachment,is_parking_feasible,parking_required,footpath_length,road_length_allocated_to_parking,budget_calculation_quantity,cost_estimate
1,A,R1-A,19.0,Y,N,N,630,0.0,0.0,0.0
2,A,R2-A,0.0,N,N,N,750,0.0,0.0,0.0
3,A,R3-A,18.0,Y,Y,Y,355,107.0,3.0,9927.96
3,B,R3-B,4.0,Y,N,N,355,0.0,0.0,0.0
4,A,R4-A,8.0,Y,N,N,760,0.0,0.0,0.0
4,B,R4-B,0.0,N,N,N,760,0.0,0.0,0.0
5,A,R5-A,102.0,Y,N,N,545,0.0,0.0,0.0
5,B,R5-B,174.0,Y,N,N,545,0.0,0.0,0.0
6,A,R6-A,0.0,N,N,N,510,0.0,0.0,0.0
6,B,R6-B,9.0,Y,N,N,510,0.0,0.0,0.0
7,A,R7-A,34.0,Y,N,N,970,0.0,0.0,0.0
7,B,R7-B,26.0,Y,Y,Y,970,291.0,6.0,19855.92
8,A,R8-A,64.0,Y,N,N,785,0.0,0.0,0.0
8,B,R8-B,76.0,Y,N,N,785,0.0,0.0,0.0
9,A,R9-A,230.0,Y,N,N,755,0.0,0.0,0.0
9,B,R9-B,182.0,Y,N,N,755,0.0,0.0,0.0
10,A,R10-A,51.0,Y,N,N,615,0.0,0.0,0.0
10,B,R10-B,155.0,Y,N,N,615,0.0,0.0,0.0
11,A,R11-A,5.0,Y,N,N,600,0.0,0.0,0.0
11,B,R11-B,49.0,Y,N,N,600,0.0,0.0,0.0
12,A,R12-A,107.0,Y,N,N,715,0.0,0.0,0.0
13,A,R13-A,13.0,Y,Y,Y,550,165.0,4.0,13237.28
