footpath_side,footpath_length,number_of_two_wheelers,parking_marking_2w,cost_estimate
R1-A,630,95.0,57.0,25920.18
R2-A,750,113.0,68.0,30922.32
R3-A,355,54.0,33.0,15006.42
R3-B,355,54.0,33.0,15006.42
R4-A,760,114.0,69.0,31377.06
R4-B,760,114.0,69.0,31377.06
R5-A,545,82.0,50.0,22737.0
R5-B,545,82.0,50.0,22737.0
R6-A,510,77.0,47.0,21372.78
R6-B,510,77.0,47.0,21372.78
R7-A,970,146.0,88.0,40017.12
R7-B,970,146.0,88.0,40017.12
R8-A,785,118.0,71.0,32286.54
R8-B,785,118.0,71.0,32286.54
R9-A,755,114.0,69.0,31377.06
R9-B,755,114.0,69.0,31377.06
R10-A,615,93.0,56.0,25465.44
R10-B,615,93.0,56.0,25465.44
R11-A,600,90.0,54.0,24555.96
R11-B,600,90.0,54.0,24555.96
R12-A,715,108.0,65.0,29558.1
R13-A,550,83.0,50.0,22737.0
